id,label,PAAC5,PAAC15,PAAC10,PAAC4,PAAC12,PAAC19,PAAC3,PAAC22,PAAC14,PAAC2,PAAC16,PAAC25,PAAC26,PAAC21,PAAC6,PAAC30,PAAC20,PAAC7,PAAC11,PAAC27,PAAC13
Positive_206,1,0.255,2.042,3.063,3.355,2.918,1.568,1.86,5.259,1.605,3.282,2.699,5.085,5.098,5.215,4.45,5.063,3.975,2.115,4.632,5.017,1.349
Negative_158,0,5.518,2.365,1.576,1.576,2.365,0.394,1.182,4.537,1.97,2.759,4.335,4.988,4.711,4.098,1.576,5.022,2.759,1.182,9.459,4.923,1.97
Positive_112,1,2.37,3.318,4.029,1.659,3.436,1.659,2.133,4.745,2.488,2.37,3.91,4.687,4.546,4.732,2.014,4.955,3.318,1.422,6.754,4.724,1.185
Negative_1226,0,1.586,3.808,2.856,1.904,0.634,1.904,0.952,4.809,2.538,2.856,4.125,4.747,4.696,4.121,4.125,4.725,2.856,2.538,6.98,4.275,1.269
Positive_18,1,1.071,4.282,2.498,2.453,1.561,1.249,1.561,4.792,2.052,3.791,4.594,5.074,4.865,4.836,2.676,4.753,2.989,1.517,5.62,4.712,1.071
Negative_184,0,3.825,5.912,0.696,0.696,0.348,0.696,0.348,4.587,1.391,3.825,5.912,4.658,4.025,4.227,1.043,4.399,1.739,0.696,7.65,4.501,2.435
Positive_219,1,0.907,3.402,4.649,0.794,2.268,2.268,2.268,4.095,4.082,1.361,4.422,4.28,4.372,4.298,2.608,4.292,4.082,1.588,7.484,4.22,2.268
Negative_718,0,2.256,3.949,1.41,3.102,4.513,1.41,0.846,5.47,2.256,3.385,1.692,4.723,5.169,5.385,4.513,5.087,2.539,1.974,4.231,5.193,0.564
Negative_636,0,0.0,9.842,4.921,0.0,4.921,0.0,0.0,3.995,4.921,0.0,4.921,4.279,4.166,2.431,0.0,6.182,4.921,4.921,4.921,4.929,0.0
Negative_1000,0,2.613,4.612,1.23,2.152,1.691,0.615,0.922,4.603,2.152,3.844,4.92,4.348,4.619,4.843,2.613,4.471,2.767,2.921,7.533,4.619,0.615
Negative_1265,0,0.582,4.948,0.873,1.164,3.202,0.582,0.873,5.28,0.582,6.986,2.62,6.012,5.54,5.023,2.911,5.667,0.582,1.747,4.657,5.952,0.873
Negative_407,0,1.341,2.753,1.588,2.329,1.659,0.741,0.776,4.968,2.576,3.247,5.082,4.84,5.038,4.714,3.388,4.927,3.317,2.823,7.482,4.853,0.988
Positive_1144,1,1.258,3.055,1.617,3.594,2.876,0.719,1.617,5.23,2.336,2.696,3.594,4.721,4.924,4.997,5.212,4.85,3.235,1.797,5.571,5.063,0.539
Negative_1004,0,0.602,3.612,3.01,0.903,1.505,0.903,1.505,4.341,1.806,3.612,5.718,4.585,4.826,3.868,1.505,4.568,5.417,0.301,9.33,5.111,2.106
Negative_1113,0,1.239,7.85,1.534,2.243,1.888,1.77,1.475,4.335,1.121,2.774,6.669,4.475,4.427,4.361,2.892,4.555,3.246,2.243,4.84,4.374,0.531
Negative_167,0,1.972,2.366,0.986,0.592,1.972,0.788,1.38,4.642,2.169,3.746,2.563,5.055,5.098,4.668,2.957,5.226,3.943,0.986,7.887,4.632,0.788
Negative_551,0,1.534,4.956,0.354,1.534,1.18,0.118,0.472,4.451,0.354,3.305,6.726,4.545,4.813,4.705,3.54,4.797,3.068,2.832,5.192,4.275,1.298
Positive_963,1,1.437,2.635,2.395,1.437,1.916,2.156,2.395,4.877,2.635,2.635,3.593,5.078,4.895,4.689,6.228,4.651,5.51,1.437,4.791,4.764,1.437
Positive_733,1,1.093,0.728,2.004,2.55,4.918,2.186,3.461,4.219,2.732,0.728,4.007,5.116,4.616,5.521,2.004,4.541,2.368,1.093,4.736,5.129,0.728
Negative_1039,0,1.771,2.799,2.285,2.742,3.199,1.714,2.571,5.078,2.114,3.199,5.541,4.733,4.694,4.748,2.742,4.918,2.799,2.514,3.77,4.851,0.857
Negative_677,0,0.833,3.541,2.5,2.5,3.541,0.833,1.667,5.067,1.667,2.916,3.541,5.126,4.729,4.93,2.5,5.098,5.208,1.667,5.416,4.645,1.25
Negative_1307,0,0.915,2.643,3.863,1.321,1.22,2.033,0.915,4.354,3.253,2.338,4.067,4.657,4.698,4.045,1.525,4.857,5.388,1.525,8.947,4.676,1.627
Negative_1230,0,1.642,3.031,2.02,2.589,4.609,1.01,2.21,4.927,1.642,2.589,6.314,4.864,4.89,4.505,3.915,4.553,2.968,2.02,4.546,4.576,1.01
Negative_81,0,0.522,3.654,1.044,2.349,3.392,1.305,1.044,4.676,1.827,5.219,5.219,5.18,5.588,5.231,1.044,5.238,2.087,2.349,3.914,5.281,1.305
Negative_43,0,1.74,2.61,5.22,0.87,1.74,2.61,0.87,4.004,0.87,2.61,2.61,3.899,5.48,5.205,3.48,5.218,2.61,4.351,5.22,5.205,0.87
Negative_1114,0,0.899,3.958,1.079,3.059,1.259,0.18,0.54,5.194,1.259,3.418,3.598,5.068,5.148,4.776,2.699,4.833,3.778,1.439,7.736,4.435,0.54
Negative_1293,0,1.276,3.099,1.094,3.099,4.01,1.276,0.365,4.593,1.094,3.281,9.297,4.538,4.881,4.649,3.281,5.253,3.099,2.188,3.463,4.719,1.276
Positive_1008,1,1.215,2.227,2.295,2.43,2.902,0.945,2.227,4.945,1.215,3.037,3.51,5.274,4.967,4.955,4.522,4.753,2.7,4.117,6.547,4.746,1.485
Positive_876,1,1.202,2.682,2.96,2.59,3.514,1.48,2.035,5.122,1.665,2.774,3.607,4.895,4.833,4.755,3.514,4.73,2.774,2.497,4.347,4.964,0.925
Negative_1081,0,1.549,4.958,0.62,1.239,1.549,1.859,0.929,5.175,3.099,3.409,4.958,4.795,4.867,4.872,0.62,4.885,1.859,1.239,6.817,4.81,0.929
Negative_361,0,1.202,3.06,2.514,1.748,2.186,0.765,2.186,5.041,2.077,3.06,3.606,4.779,5.158,4.548,3.606,4.76,3.716,2.186,5.901,4.721,1.311
Positive_1076,1,0.896,2.42,3.226,2.868,3.137,1.792,2.778,4.818,2.151,2.061,3.405,4.784,5.008,5.034,2.599,4.794,4.302,1.524,5.198,4.717,1.076
Negative_546,0,1.22,5.151,1.898,1.762,1.356,1.084,0.542,4.2,2.033,2.982,5.558,4.919,4.829,4.826,3.66,4.635,4.744,2.305,5.558,4.773,0.271
Positive_118,1,0.462,2.035,2.682,3.699,4.069,2.035,1.849,5.257,1.849,2.405,2.682,5.04,5.04,4.971,3.792,5.087,2.589,1.942,4.994,4.906,0.925
Positive_919,1,1.049,2.412,1.573,2.307,2.098,1.783,1.154,5.401,1.678,3.671,3.356,5.297,4.794,5.077,3.88,5.17,3.356,1.573,5.348,5.73,0.944
Negative_1281,0,1.726,3.222,2.301,3.336,2.186,1.611,1.496,5.595,2.531,3.567,4.948,5.226,5.032,4.915,2.071,5.281,2.531,2.416,6.558,4.935,0.345
Negative_1140,0,18.03,3.606,0.0,2.705,7.212,0.0,0.0,3.948,0.0,0.0,6.31,3.028,4.245,4.074,7.212,3.936,0.902,0.902,0.0,4.218,0.902
Positive_780,1,0.0,2.559,2.634,2.559,2.634,3.612,4.365,4.962,1.279,1.656,5.193,4.661,4.694,4.402,2.634,4.58,2.86,3.16,3.988,4.559,1.354
Negative_237,0,1.266,2.786,2.279,1.392,0.633,1.772,1.392,4.375,3.165,2.279,6.204,4.179,4.661,4.123,2.406,4.744,3.418,1.772,9.243,4.312,0.633
Negative_915,0,1.211,3.27,2.785,1.817,2.422,1.575,0.848,4.963,1.332,3.028,2.907,4.544,4.998,4.641,3.633,4.735,3.512,2.664,7.63,5.019,1.575
Negative_145,0,1.12,2.016,1.12,2.016,1.344,0.672,0.224,6.041,2.016,4.481,2.912,5.322,5.125,5.144,2.464,4.889,5.6,1.12,6.049,5.163,0.896
Positive_755,1,0.332,1.77,3.209,2.766,3.873,0.885,1.106,4.837,1.549,1.328,2.545,4.655,4.726,4.697,3.209,4.972,6.196,1.66,4.315,4.365,0.996
Negative_616,0,2.972,2.526,3.864,1.04,2.229,1.486,1.932,4.247,3.27,1.932,4.31,4.477,4.489,4.149,1.784,4.382,5.648,2.526,8.026,4.376,1.338
Positive_120,1,1.504,2.556,6.166,1.805,3.459,2.556,2.707,4.489,4.211,1.955,3.76,4.894,4.921,4.373,1.053,4.794,3.158,0.902,6.918,4.47,1.354
Positive_78,1,1.251,3.983,3.187,0.91,2.845,1.707,2.959,4.745,2.39,3.073,3.755,4.407,4.568,4.268,1.821,4.644,4.779,1.707,4.893,4.557,1.479
Positive_406,1,0.595,3.37,4.229,2.114,2.643,1.322,1.52,4.75,3.106,2.379,3.965,4.645,4.72,4.459,3.172,4.731,4.559,1.388,6.608,4.798,1.19
Negative_529,0,1.962,3.138,2.746,0.785,2.746,0.392,2.746,4.954,2.354,1.962,4.315,4.121,4.253,4.353,2.746,4.107,3.531,1.962,10.2,4.213,1.962
Positive_867,1,1.075,1.882,1.882,1.882,6.183,1.075,2.688,5.241,1.613,2.957,3.226,4.982,5.101,4.484,8.334,4.751,2.151,1.613,5.377,5.335,1.613
Negative_586,0,2.101,3.151,4.201,1.4,4.201,2.451,2.451,5.004,1.4,2.101,4.201,4.776,4.496,4.789,1.4,4.507,2.451,2.801,3.851,4.906,1.05
Positive_86,1,1.252,3.572,2.319,2.83,2.18,1.16,1.856,4.809,1.531,3.015,5.242,4.859,4.806,4.488,3.618,4.806,2.922,1.948,5.566,4.65,1.02
Negative_508,0,2.085,4.169,2.085,2.085,2.085,0.0,0.0,5.0,2.085,6.254,4.169,5.068,4.322,5.291,2.085,5.06,2.085,0.0,10.422,4.99,2.085
Negative_140,0,0.764,1.529,1.784,3.822,1.019,0.764,3.313,5.188,1.274,4.587,4.332,5.096,5.62,4.858,3.568,5.852,2.548,2.293,7.136,4.9,1.274
Positive_542,1,0.665,2.661,2.661,3.326,3.991,2.661,1.995,5.66,3.104,2.439,2.882,4.809,4.889,5.406,3.547,4.952,1.109,1.995,5.986,4.556,1.774
Positive_453,1,1.147,3.278,2.022,2.349,2.24,1.967,2.459,4.583,2.13,2.185,4.37,4.649,4.585,4.848,3.004,4.657,4.097,2.732,5.682,4.867,0.983
Positive_791,1,0.186,2.787,2.508,2.416,2.416,1.672,2.137,5.393,2.88,3.252,2.323,5.044,5.1,5.022,2.787,5.148,3.345,2.137,5.296,4.896,1.487
Positive_369,1,1.432,1.337,4.87,1.909,3.819,2.101,4.774,4.445,1.527,1.909,5.824,4.557,4.845,4.368,2.291,4.5,4.201,1.909,5.634,4.209,1.05
Negative_571,0,11.249,0.625,0.0,0.0,0.0,9.999,1.25,4.354,0.0,3.125,6.874,5.703,3.665,5.638,0.0,3.068,0.0,0.0,0.625,6.149,0.625
Negative_839,0,6.487,3.784,2.703,2.703,3.243,1.081,1.081,3.744,0.0,1.081,8.649,3.957,4.266,4.479,1.081,4.365,3.784,2.703,7.028,4.074,1.622
Negative_804,0,1.488,4.761,2.975,2.678,1.19,0.893,1.488,5.166,2.38,3.273,2.38,4.345,5.384,4.96,3.273,4.338,2.678,1.786,6.546,4.905,1.19
Negative_796,0,1.317,3.159,2.019,1.667,2.194,2.194,1.492,4.647,2.457,2.984,3.51,5.094,4.811,4.709,3.159,4.808,3.686,1.229,5.704,4.618,1.229
Negative_294,0,2.704,8.113,0.676,1.803,1.352,0.451,0.901,4.165,0.901,2.704,6.761,4.399,4.468,4.729,2.028,4.679,1.803,2.028,5.634,4.578,0.901
Negative_28,0,1.364,5.454,0.0,1.364,2.727,0.0,1.364,4.007,4.091,0.0,5.454,3.477,3.562,4.163,5.454,3.62,4.091,4.091,2.727,4.213,1.364
Negative_178,0,2.006,5.348,1.114,1.56,1.783,1.56,1.56,4.454,2.451,4.011,4.234,4.81,4.98,4.383,1.337,4.773,3.12,1.337,7.354,4.852,0.446
Positive_1066,1,1.237,2.612,3.024,2.474,3.849,2.199,2.199,4.626,2.886,2.336,5.086,4.689,4.781,4.844,2.474,4.641,3.573,2.474,4.673,4.765,0.962
Positive_1086,1,0.954,3.42,2.234,2.117,1.977,1.303,1.326,4.879,1.815,2.862,3.35,4.936,4.835,4.907,3.536,4.793,4.467,2.21,5.421,4.894,1.21
Negative_734,0,0.672,3.359,0.672,1.344,1.008,1.008,0.672,5.338,3.023,5.374,3.023,5.422,5.336,5.121,2.687,5.295,1.008,1.344,5.374,5.507,1.008
Positive_1196,1,1.079,1.889,3.239,1.215,2.024,1.889,2.024,4.687,4.048,2.969,7.152,4.723,4.876,4.358,1.619,4.871,4.318,1.215,6.208,4.934,1.215
Negative_16,0,6.598,4.399,3.299,0.0,0.0,0.0,0.0,3.704,0.0,3.299,4.399,4.117,4.602,5.269,2.2,3.598,5.499,2.2,9.897,4.094,2.2
Positive_1211,1,0.866,1.731,3.463,2.886,1.876,1.587,1.155,5.363,2.164,2.741,3.752,5.219,5.435,4.793,2.741,4.941,2.598,1.443,5.339,4.805,1.155
Negative_1056,0,1.508,3.015,1.866,2.943,2.297,1.795,2.082,4.487,2.656,2.297,5.384,4.452,4.653,4.797,2.512,4.749,4.307,1.938,4.738,4.824,1.579
Negative_166,0,0.623,5.291,1.038,2.49,1.245,0.83,0.83,4.237,1.245,1.971,5.395,4.406,4.203,4.324,5.914,4.428,3.009,2.283,8.923,4.577,0.726
Positive_581,1,0.766,3.374,2.76,1.993,2.607,2.3,2.76,4.546,1.993,1.84,5.06,4.438,4.638,4.4,2.76,4.798,3.374,2.76,6.287,4.429,0.92
Negative_604,0,2.047,2.559,1.535,3.071,2.047,1.535,1.024,4.569,0.0,5.117,4.094,4.986,5.463,4.969,3.071,4.599,2.047,1.535,8.188,4.897,0.512
Positive_577,1,0.731,2.297,3.132,1.984,3.237,1.566,2.61,4.839,2.088,2.088,3.55,5.018,4.905,4.661,3.758,4.836,4.594,0.939,4.072,4.89,1.67
Negative_1022,0,1.651,2.252,2.402,2.552,3.752,0.45,2.852,4.517,1.351,1.801,5.103,4.729,4.904,4.691,3.903,4.347,3.302,2.252,5.854,4.826,0.751
Negative_355,0,1.401,2.335,0.234,2.102,0.934,0.0,0.934,5.691,0.467,5.605,2.335,5.408,5.253,4.963,6.072,5.463,1.168,3.036,7.473,5.257,0.701
Positive_737,1,0.34,1.361,3.064,2.723,4.425,0.681,2.723,4.831,2.723,0.681,3.404,4.486,4.595,4.609,3.744,4.401,5.446,4.085,5.446,4.565,2.043
Positive_84,1,0.648,4.132,0.729,2.349,0.81,1.701,1.377,5.036,2.349,3.483,2.916,5.006,5.24,4.937,2.754,5.096,4.375,1.944,5.59,4.947,0.729
Positive_1172,1,0.752,3.288,2.63,2.912,3.758,1.597,1.879,5.155,3.006,2.067,4.228,4.954,4.773,4.873,6.2,5.079,1.973,1.785,4.791,4.936,1.127
Negative_23,0,0.0,9.49,1.898,1.898,0.0,0.0,3.796,3.623,1.898,0.0,5.694,3.507,4.322,3.764,7.592,2.994,3.796,0.0,7.592,3.426,3.796
Positive_162,1,1.101,2.438,3.146,3.146,3.146,1.888,2.596,4.96,2.124,2.91,3.539,5.098,5.18,4.892,4.011,4.935,2.989,1.495,4.404,4.925,1.416
Negative_270,0,1.751,3.184,2.866,2.547,2.07,1.433,2.229,4.883,3.821,2.707,3.98,5.009,4.817,4.935,3.025,4.717,2.707,2.229,5.573,4.978,0.955
Positive_221,1,0.67,1.805,2.527,3.868,3.404,1.341,1.753,5.394,1.908,2.527,2.527,5.217,5.112,4.975,3.352,5.002,3.507,2.166,4.745,4.807,1.238
Positive_1114,1,1.6,2.454,2.667,4.161,4.694,1.6,1.813,5.089,1.173,2.667,2.347,4.99,5.082,4.962,4.481,4.937,2.987,1.28,3.094,4.901,0.96
Positive_154,1,1.731,2.255,2.728,2.203,2.78,2.151,2.623,4.711,3.042,2.203,4.721,4.789,4.808,4.849,4.039,4.839,3.462,2.203,4.563,4.841,1.259
Negative_391,0,1.513,3.147,1.317,2.123,2.391,1.073,1.049,4.976,1.367,3.099,4.196,4.932,4.841,4.916,3.294,4.867,2.806,3.245,8.32,4.751,0.488
Positive_554,1,0.576,0.863,3.164,2.877,3.74,1.726,3.452,5.711,1.439,3.74,1.726,5.541,5.301,5.454,2.301,5.485,2.589,1.439,4.603,5.225,1.439
Positive_215,1,0.523,2.615,2.466,2.092,2.914,1.42,1.42,5.154,3.811,2.615,2.69,4.839,5.043,4.958,2.914,5.144,4.109,2.167,4.782,4.665,0.897
Negative_687,0,9.877,4.648,0.0,0.581,1.162,0.0,1.162,3.074,1.162,5.81,14.524,4.34,4.253,3.066,0.0,5.251,0.581,3.486,0.0,4.929,0.581
Negative_639,0,2.188,3.647,0.912,0.729,0.729,1.459,1.094,4.648,3.829,3.282,3.464,4.843,5.178,4.387,0.729,4.917,4.924,1.094,10.212,4.648,0.365
Positive_470,1,1.571,2.758,3.179,2.49,2.988,1.647,3.064,4.845,2.681,2.145,4.558,4.513,4.765,4.635,2.758,4.662,4.137,1.915,5.133,4.704,1.149
Positive_614,1,0.258,1.802,1.931,2.317,3.09,1.287,2.575,4.958,3.219,2.703,4.892,4.717,5.201,4.55,2.446,4.952,3.991,2.961,6.695,4.756,1.802
Negative_758,0,1.121,3.587,1.793,2.69,2.915,1.569,1.793,4.542,2.242,2.69,2.466,4.682,4.959,4.824,3.587,5.102,2.915,2.915,4.484,5.135,1.793
Negative_225,0,1.448,8.326,1.81,2.172,1.81,0.362,0.362,4.515,2.172,2.534,4.706,4.654,4.313,4.326,2.172,4.531,3.258,2.172,5.43,4.269,1.81
Negative_1261,0,2.8,3.733,2.567,2.1,3.267,2.567,1.167,4.897,1.167,2.1,3.5,4.981,4.124,4.876,2.8,4.309,3.5,2.8,6.066,4.495,0.933
Positive_88,1,0.859,3.912,0.954,1.24,0.954,1.049,0.859,5.29,2.004,4.675,2.958,5.118,5.193,4.995,3.339,5.273,3.53,1.908,6.297,5.201,0.668
Positive_650,1,1.281,2.097,2.213,2.446,2.563,2.679,2.097,5.332,2.097,3.028,1.98,4.881,4.805,5.158,3.028,5.053,3.028,2.33,5.707,4.943,0.466
Negative_948,0,2.252,5.405,0.0,2.252,2.252,0.451,1.801,4.128,2.252,3.153,5.405,4.195,5.071,5.019,2.252,4.41,3.603,3.153,5.855,5.314,0.901
Positive_1207,1,0.985,2.709,2.093,2.709,3.078,1.847,1.723,5.096,2.216,2.955,3.201,5.141,5.068,5.183,3.693,4.878,3.078,3.201,6.279,4.988,1.723
Positive_981,1,0.273,4.28,3.188,2.277,3.734,1.457,1.548,4.884,2.641,2.823,6.193,4.584,5.081,4.612,3.006,4.892,3.279,1.639,4.099,5.12,1.184
Negative_540,0,3.103,1.957,1.289,2.817,5.395,1.003,3.199,4.93,1.766,4.201,3.008,4.958,4.699,5.014,5.872,5.057,1.528,1.862,2.387,4.798,1.289
Positive_260,1,0.987,2.523,3.62,2.413,4.168,1.755,2.194,4.948,2.194,1.755,2.413,5.134,4.772,4.772,3.949,5.208,3.291,1.207,5.704,4.721,0.987
Positive_7,1,1.282,2.563,3.845,1.282,3.204,3.845,0.641,3.982,0.641,1.922,1.922,4.921,4.183,4.216,3.845,4.927,3.845,3.204,10.893,4.326,0.641
Negative_1101,0,0.501,4.404,1.001,1.902,2.102,0.701,1.001,5.019,0.801,3.704,4.605,4.692,4.956,4.577,4.505,4.935,4.104,2.102,5.205,4.894,0.901
Negative_107,0,1.684,3.368,2.526,1.965,2.245,1.965,2.245,4.441,2.807,2.245,3.368,5.477,4.401,4.496,3.93,4.438,1.684,2.245,5.894,4.76,1.684
Positive_122,1,0.841,3.117,2.382,2.557,3.153,1.471,2.032,5.033,2.067,2.838,3.398,5.031,5.096,5.074,3.503,5.013,3.433,2.417,4.449,5.023,1.051
Negative_498,0,0.28,7.849,1.682,1.682,3.644,0.28,2.523,4.812,1.962,3.364,5.887,5.017,4.847,4.538,4.205,4.693,1.682,1.402,1.962,4.461,1.121
Negative_863,0,1.581,3.85,3.919,1.581,2.2,1.994,1.994,4.367,3.438,1.65,3.85,4.63,4.521,4.595,2.132,4.608,3.85,1.787,5.088,4.471,1.581
Positive_502,1,0.953,3.811,1.112,1.588,2.223,1.112,1.112,5.072,1.27,6.51,2.858,5.591,4.955,5.552,2.064,5.095,2.064,0.794,2.858,6.188,0.635
Negative_8,0,2.118,1.764,3.529,1.764,1.059,1.764,0.706,5.421,2.47,4.235,4.235,5.832,4.843,4.994,2.823,5.047,1.764,3.529,3.529,5.09,1.059
Negative_778,0,1.632,3.645,2.366,2.313,2.04,1.387,2.013,4.726,1.931,3.128,3.836,4.862,4.815,4.684,3.019,4.763,3.645,2.503,5.441,4.797,1.061
Positive_1094,1,0.667,3.071,1.468,2.203,1.802,2.336,1.802,5.004,2.937,3.27,4.205,4.963,5.128,4.925,2.67,5.004,3.137,2.47,7.609,4.801,1.202
Positive_186,1,1.007,2.756,2.914,2.172,2.808,1.696,1.855,5.029,2.172,3.02,3.921,5.036,4.919,4.861,3.233,5.042,3.286,1.908,5.299,4.805,0.954
Negative_683,0,0.525,3.671,1.574,2.623,1.574,2.623,2.098,5.51,0.0,4.721,4.196,4.724,4.856,4.643,3.671,4.788,1.049,0.525,8.392,5.49,2.098
Positive_694,1,0.223,1.787,2.457,3.35,5.807,0.893,1.34,5.391,3.573,2.01,2.01,4.846,5.268,5.169,2.68,5.171,4.69,0.447,3.35,5.282,1.117
Negative_478,0,2.008,3.17,3.064,1.374,2.642,1.691,2.748,3.966,3.91,1.902,6.446,4.357,4.374,4.174,1.057,4.499,4.333,2.853,6.129,4.325,1.374
Negative_1224,0,2.513,5.026,3.59,2.513,1.795,1.077,2.513,4.472,2.154,2.872,4.308,4.156,4.371,4.147,3.949,4.542,1.795,0.718,4.667,4.016,2.513
Positive_238,1,0.191,2.475,3.808,2.856,1.714,1.142,1.523,5.214,1.333,2.475,3.046,4.991,5.209,5.014,2.094,4.689,3.237,1.904,5.141,4.996,1.904
Positive_176,1,0.681,2.639,3.405,2.895,4.087,1.873,2.129,4.892,2.129,2.469,1.873,4.831,4.976,5.057,4.683,4.709,2.724,1.618,4.512,5.042,1.788
Positive_543,1,0.545,0.545,2.18,4.36,5.45,1.09,0.545,5.074,3.27,0.545,3.815,5.123,5.434,4.786,4.36,4.473,3.27,1.635,5.45,4.996,2.18
