id,label,APAAC5,APAAC10,APAAC12,APAAC19,APAAC15,APAAC4,APAAC14,APAAC16,APAAC3,APAAC6,APAAC20,APAAC13,APAAC7,APAAC2,APAAC11,APAAC18,APAAC23,APAAC9,APAAC29,APAAC39,APAAC1,APAAC24,APAAC8,APAAC34,APAAC17,APAAC28,APAAC40,APAAC32
Positive_979,1,0.991,3.633,6.275,2.642,7.596,5.945,3.303,6.935,3.633,6.275,5.614,1.651,2.972,3.633,8.256,1.321,0.669,3.963,-0.802,-0.936,4.623,2.363,5.284,-2.14,4.623,-1.248,0.981,4.235
Positive_828,1,0.691,5.295,5.065,4.834,5.065,4.604,5.754,6.445,6.445,2.992,5.754,2.532,3.683,2.302,8.748,2.302,-2.016,2.532,-0.596,-0.504,5.754,-1.328,5.754,-0.321,5.065,-3.344,2.978,-0.458
Negative_11,0,2.11,1.407,2.11,1.407,4.924,2.11,3.517,7.033,0.0,2.813,5.627,0.703,0.0,3.517,9.847,2.11,1.818,2.813,1.058,5.917,4.924,-1.289,5.627,0.496,3.517,0.529,2.446,-2.116
Negative_268,0,1.686,2.528,3.371,1.686,7.585,2.528,3.371,7.585,1.686,5.338,4.495,3.371,2.528,6.461,5.619,2.248,-0.163,1.686,2.607,-0.244,9.27,1.629,5.338,-0.081,3.09,0.815,-1.548,0.367
Negative_1076,0,7.208,4.806,9.612,0.0,0.0,2.403,4.806,9.612,12.015,9.612,0.0,14.418,4.806,4.806,14.418,4.806,-1.042,2.403,-6.189,-7.23,0.0,-0.123,7.208,-10.172,9.612,-1.164,-4.902,6.373
Positive_811,1,1.426,2.853,2.464,2.334,1.945,1.556,3.112,4.279,1.426,2.853,3.112,1.686,1.556,2.983,4.279,0.259,4.122,1.167,4.171,-0.0,3.501,4.922,2.983,3.589,2.723,2.57,0.533,2.498
Positive_286,1,0.752,3.868,2.041,0.86,2.793,1.612,2.364,4.083,2.149,2.901,5.265,1.29,1.29,1.934,7.414,0.322,1.943,0.752,2.172,2.658,6.661,1.258,5.372,1.743,3.438,1.658,1.343,0.286
Negative_812,0,1.67,2.672,4.676,1.336,3.674,2.672,2.672,6.68,4.342,4.342,2.672,2.338,3.006,4.676,7.348,0.334,-7.103,1.336,3.273,-1.211,3.34,-2.979,2.672,-0.196,3.006,2.913,1.178,2.52
Positive_1144,1,2.068,2.659,4.728,1.182,5.023,5.91,3.842,5.91,2.659,8.57,5.319,0.887,2.955,4.433,9.161,0.887,-5.583,1.478,0.917,0.583,5.023,1.833,5.91,1.75,4.728,4.167,2.167,2.042
Negative_1253,0,1.749,4.373,5.248,4.373,13.121,0.875,0.875,6.998,0.875,2.624,6.998,5.248,2.624,4.373,6.123,3.499,-1.522,0.875,-1.674,-2.029,12.247,2.486,11.372,-3.805,6.998,-0.964,-2.08,-2.385
Negative_592,0,4.217,5.271,3.163,2.109,6.326,4.217,2.109,6.326,3.163,7.38,3.163,2.109,4.217,3.163,12.652,1.054,1.686,4.217,-6.373,3.454,2.109,0.74,3.163,-5.921,2.109,1.768,4.276,-2.179
Positive_833,1,2.033,3.727,6.777,3.049,8.132,6.099,5.421,7.794,4.066,6.099,7.794,2.033,3.727,5.76,11.182,3.049,-0.107,4.405,-0.376,4.565,5.083,0.215,5.083,2.846,6.099,1.772,3.33,-2.095
Negative_189,0,0.0,0.604,1.511,0.907,6.647,3.626,1.813,4.532,1.208,6.949,4.23,1.208,2.719,9.366,4.834,1.511,-6.229,1.813,3.428,2.101,8.158,-1.474,8.158,5.492,3.928,0.147,3.354,5.234
Positive_322,1,1.604,8.286,7.752,4.544,3.742,4.009,4.812,8.018,4.277,8.286,5.881,2.94,5.346,4.009,11.226,0.801,-6.178,2.405,-0.289,0.462,10.157,-2.656,10.157,-4.619,7.217,0.058,0.693,0.635
Positive_647,1,1.898,2.848,3.322,4.746,5.339,4.627,2.966,4.508,2.848,8.305,4.271,1.661,2.729,6.763,9.136,0.593,-2.352,2.61,-1.26,1.386,6.763,-0.252,5.339,2.184,2.729,3.024,1.428,0.252
Positive_247,1,2.195,5.32,5.586,3.192,4.721,4.588,2.727,7.514,3.525,6.849,7.315,1.729,3.391,4.057,8.246,1.263,0.361,1.729,-0.406,1.082,4.522,1.578,5.652,-0.857,6.051,-0.766,1.127,0.631
Positive_499,1,3.048,12.19,27.429,7.619,6.096,4.571,4.571,3.048,7.619,12.19,4.571,6.096,3.048,3.048,9.142,1.523,-5.44,4.571,-18.88,-9.76,9.142,2.48,19.81,-6.72,10.667,-6.0,-2.64,-3.28
Negative_518,0,1.72,2.211,1.965,3.193,2.702,0.982,4.912,6.141,2.211,3.685,4.912,1.228,1.474,3.193,10.562,2.211,3.872,1.72,1.57,1.291,5.404,3.593,5.158,-0.837,4.176,-0.14,1.918,0.14
Negative_1164,0,2.035,2.141,3.32,1.499,2.463,3.855,1.178,7.067,1.927,5.996,3.32,0.856,2.891,2.249,3.855,0.428,1.157,0.964,0.526,-0.315,1.606,3.102,2.249,4.18,2.677,2.655,2.708,4.758
Negative_601,0,2.173,2.608,2.716,0.869,5.541,3.368,3.368,9.67,1.847,5.433,3.585,1.629,3.477,7.171,12.277,1.304,-4.191,1.956,1.5,0.838,9.67,-2.382,5.541,0.75,4.02,2.691,1.941,0.353
Negative_527,0,4.348,6.523,4.892,3.262,4.348,7.067,1.631,4.348,5.436,6.523,8.154,1.087,1.631,5.436,5.979,0.544,1.469,1.631,-4.408,-2.334,4.892,2.636,1.631,6.655,7.067,4.538,-1.469,-0.346
Positive_440,1,2.79,7.673,6.976,4.883,9.765,6.976,10.464,6.278,7.673,8.37,8.37,1.395,5.581,9.068,12.556,1.395,-5.339,1.395,-12.327,7.515,5.581,-2.109,7.673,6.131,6.976,-7.053,3.626,-1.648
Negative_158,0,10.796,3.084,4.627,0.771,4.627,3.084,3.855,8.482,2.314,3.084,5.398,3.855,2.314,5.398,18.508,2.314,-1.783,4.627,-4.51,-5.034,6.169,-1.94,8.482,-1.73,3.084,-2.465,-2.255,-2.727
Positive_865,1,0.0,4.54,1.598,1.429,2.018,1.009,4.204,1.513,1.177,2.018,3.027,1.093,0.505,1.682,5.045,1.345,3.947,0.505,3.709,2.415,4.54,1.639,3.699,1.812,2.186,3.127,-0.712,0.086
Positive_81,1,1.19,1.983,2.644,1.058,1.983,1.454,1.718,2.776,1.322,2.247,4.362,1.983,2.644,3.834,9.651,1.454,2.71,1.851,0.96,4.403,5.156,0.452,4.23,2.032,2.908,1.665,2.089,1.327
Positive_1077,1,0.904,4.337,6.867,2.53,7.047,4.156,4.879,6.325,3.614,6.686,7.228,2.891,3.975,2.891,11.384,2.168,0.922,2.349,0.666,-0.615,8.312,-1.639,8.132,-5.379,5.783,4.662,-1.895,-2.766
Negative_10,0,1.047,3.837,0.698,1.047,0.349,1.396,3.837,2.791,1.744,0.349,3.837,0.698,1.744,0.0,4.884,0.349,3.885,0.0,4.136,5.676,0.698,2.796,1.396,2.21,2.791,3.416,2.528,3.65
Negative_980,0,2.821,2.418,2.015,2.62,2.015,2.217,3.023,3.829,2.015,3.829,4.837,3.224,2.217,3.023,8.665,2.015,1.567,1.209,2.889,2.919,3.023,1.229,2.821,0.338,3.628,1.383,0.123,0.553
Positive_1011,1,0.763,4.96,7.632,2.672,8.013,6.869,4.197,11.447,3.815,6.487,7.25,2.29,3.434,3.434,8.776,1.527,-0.675,4.197,-1.868,-0.623,4.579,1.868,6.487,-1.868,4.96,-1.868,2.543,0.104
Negative_291,0,2.226,1.855,2.226,1.113,10.758,1.484,1.113,7.42,0.742,4.823,5.193,2.968,4.081,5.193,7.048,1.855,4.042,2.226,2.274,1.011,9.274,1.979,9.645,1.221,2.968,-2.821,-2.189,-1.811
Positive_1030,1,1.018,5.342,8.142,2.798,2.035,6.614,2.798,4.834,3.307,6.614,4.834,2.29,3.307,4.834,8.651,0.254,-5.986,1.272,-0.308,-1.585,8.396,-2.289,5.088,0.836,5.597,6.338,-1.893,-0.044
Negative_1191,0,9.904,0.0,0.0,12.379,0.0,1.238,2.476,4.333,1.238,0.0,0.619,0.619,0.0,1.857,3.095,0.0,1.594,1.238,2.486,1.785,0.0,2.104,24.759,5.037,0.0,2.168,2.359,-3.188
Positive_936,1,1.651,5.614,4.127,3.632,3.632,4.623,4.788,5.284,3.632,2.807,4.954,2.147,1.651,3.962,7.76,1.817,3.417,1.486,0.461,-1.651,3.302,4.952,3.797,-0.845,6.109,2.726,-0.921,2.418
Positive_224,1,0.555,2.778,3.778,1.889,5.555,3.666,1.445,6.666,2.445,5.111,3.445,1.111,2.889,4.555,5.445,0.555,-0.066,1.222,3.023,1.362,4.889,1.063,4.889,3.621,3.555,4.518,2.259,1.462
Positive_409,1,1.683,7.296,6.173,2.525,4.77,4.489,3.647,7.015,2.806,7.015,4.209,4.489,4.77,5.892,12.066,1.683,-5.087,1.683,0.925,0.52,17.398,-3.064,9.821,-3.179,6.173,-2.948,0.462,-3.064
Positive_788,1,1.415,4.637,5.972,4.008,3.143,5.186,4.008,5.501,4.401,5.343,5.108,2.593,2.358,4.322,9.744,1.022,1.307,1.728,-0.042,1.518,3.379,0.97,4.715,-0.084,5.736,0.885,3.12,0.801
Negative_144,0,2.728,1.818,0.909,0.909,8.637,3.182,3.182,4.546,3.182,6.365,4.091,0.909,10.002,4.091,10.91,1.363,-1.798,2.728,-0.544,0.544,5.455,0.544,5.91,-0.335,2.728,3.137,1.631,0.335
Negative_313,0,5.522,3.823,3.823,5.097,4.248,5.946,5.522,5.946,2.973,4.672,7.645,1.699,5.522,5.522,9.345,0.849,-3.772,4.672,4.842,-0.153,6.796,-0.408,6.371,4.689,5.946,-1.376,1.376,1.019
Positive_1160,1,2.04,4.589,6.119,3.06,3.57,5.099,4.589,6.629,7.139,8.159,5.099,3.57,4.08,4.589,8.669,1.53,-2.907,5.609,-1.887,-3.009,5.609,-3.213,5.609,0.051,6.629,-1.377,-2.958,1.224
Negative_87,0,1.115,1.673,4.74,1.115,5.018,1.115,0.837,3.067,0.558,3.067,3.067,1.115,3.067,6.133,6.412,1.394,-1.72,0.558,3.578,4.466,3.903,-1.581,5.297,6.546,2.23,1.72,0.527,2.94
Negative_115,0,0.572,1.716,2.059,1.258,4.233,1.83,1.03,5.949,2.059,2.86,2.117,1.258,5.205,2.46,2.86,0.171,1.184,0.686,2.508,2.276,2.174,2.485,3.375,3.716,2.574,2.485,2.764,3.53
Negative_1014,0,7.805,2.054,5.135,2.465,5.34,3.491,3.287,6.778,4.313,5.956,3.697,1.849,4.108,4.929,6.162,1.027,-7.315,2.054,1.42,0.731,6.367,-4.432,4.313,4.948,4.929,4.346,1.678,-1.033
Positive_410,1,2.276,4.552,5.183,1.896,4.804,5.183,4.046,7.333,2.149,5.942,6.574,0.759,4.93,4.299,11.126,0.759,-1.054,3.16,-0.412,-4.308,7.206,-0.412,5.183,0.412,4.299,4.766,-2.704,-2.108
Negative_429,0,1.285,0.642,0.857,0.214,8.136,2.569,0.214,4.282,0.214,4.282,2.998,0.214,3.426,6.209,7.708,0.214,1.314,0.857,5.227,1.583,7.708,3.465,6.424,0.836,1.285,5.675,2.509,2.18
Negative_881,0,1.791,0.0,2.686,0.895,2.686,0.0,1.791,9.848,1.791,3.581,3.581,1.791,1.791,0.895,17.906,0.0,5.656,5.372,-0.628,5.726,0.895,0.07,6.267,-1.676,6.267,1.327,5.272,-3.142
Positive_303,1,3.16,5.687,6.95,3.791,6.95,6.002,5.055,8.215,4.739,9.162,8.53,2.844,3.476,4.423,13.27,2.844,-4.939,2.211,-4.329,-0.854,6.002,-2.5,10.426,-2.5,8.215,1.159,-4.207,-0.976
Negative_203,0,2.118,2.118,5.295,0.529,4.236,1.588,2.118,3.177,3.706,4.765,1.588,2.647,2.647,7.413,6.883,0.529,-0.562,0.0,6.123,-1.437,5.295,1.531,3.706,4.249,2.118,4.905,2.812,0.344
Positive_19,1,1.406,1.781,2.249,1.499,2.905,0.937,1.499,3.28,1.406,2.343,2.437,1.125,1.218,2.999,5.061,1.218,1.811,0.188,2.781,1.638,3.562,2.716,2.718,1.487,3.28,4.484,1.487,2.544
Positive_197,1,2.376,7.391,5.543,5.279,3.167,3.695,4.223,10.822,10.558,7.654,7.918,2.903,5.807,2.639,12.406,1.056,2.629,1.056,-1.314,-0.457,6.335,-0.857,6.863,-3.314,6.599,0.971,0.686,-2.686
Negative_1083,0,3.028,2.65,0.757,0.379,6.814,0.757,3.407,9.842,0.379,2.65,3.785,1.136,2.65,3.407,6.814,2.271,3.864,0.379,0.393,3.635,4.164,4.06,6.057,2.063,4.164,2.325,2.881,1.834
Positive_1037,1,1.56,5.199,6.585,3.639,5.719,4.679,3.639,7.279,3.119,7.625,4.852,3.119,3.119,5.026,6.239,1.56,-4.376,1.733,2.507,0.365,5.719,-3.054,6.066,3.965,4.679,-2.051,0.729,0.684
Negative_741,0,2.017,4.79,3.151,2.899,7.565,4.412,2.899,8.951,3.656,4.664,3.656,3.025,6.429,4.79,5.799,0.756,-1.372,2.395,-0.043,0.814,3.656,-0.257,3.782,-0.686,6.429,2.1,2.229,1.757
Negative_674,0,6.843,2.566,6.843,0.855,7.699,1.711,0.855,4.277,4.277,8.554,4.277,0.855,1.711,8.554,9.41,0.855,-0.28,0.855,1.818,-9.184,8.554,8.531,10.265,-3.31,3.422,-0.28,-1.026,4.196
Negative_1251,0,3.216,3.618,6.834,2.01,5.226,2.814,1.608,8.04,3.618,5.628,4.824,1.608,6.03,5.628,9.648,0.804,-4.284,4.824,-4.685,2.41,5.628,-2.588,3.618,6.203,4.021,7.898,4.061,-1.651
Negative_668,0,2.479,3.511,4.819,2.066,6.747,3.994,3.511,8.263,1.721,7.78,5.715,1.997,5.646,5.921,14.115,2.135,-1.623,3.374,-0.304,-0.254,6.335,-0.913,6.059,-0.558,5.233,1.826,0.811,-3.448
Positive_990,1,3.227,6.932,5.139,2.39,4.781,6.693,3.944,9.083,5.02,6.454,6.334,2.032,4.063,6.573,7.888,0.956,-1.851,4.542,-3.014,-0.529,8.964,-1.957,4.781,2.591,5.976,0.529,1.745,-1.904
Positive_483,1,2.455,7.363,8.284,5.829,3.682,9.205,2.761,6.136,3.375,8.284,7.978,3.068,4.295,4.295,12.273,1.534,-5.166,1.534,-3.481,-7.131,5.523,-3.987,9.205,7.692,5.216,0.618,-2.583,-2.358
Positive_260,1,1.792,6.574,7.57,3.188,4.582,4.383,3.984,4.383,3.984,7.172,5.977,1.792,2.192,3.188,10.359,0.996,0.093,3.785,-1.621,-4.076,6.774,1.019,5.977,2.547,3.984,0.185,-1.343,1.806
Negative_336,0,0.427,1.709,0.854,5.128,12.819,1.282,2.136,3.846,2.564,0.854,5.128,2.564,3.846,1.282,3.846,0.427,1.579,0.854,0.538,3.518,8.546,-0.287,8.973,2.297,4.701,0.323,1.723,0.467
Negative_718,0,3.345,2.091,6.69,2.091,5.854,4.599,3.345,2.508,1.254,6.69,3.763,0.836,2.927,5.018,6.272,1.673,-2.661,2.508,3.452,0.036,3.763,-0.647,3.345,0.18,3.345,3.955,1.942,1.618
Negative_337,0,6.194,5.42,7.743,2.323,3.871,4.646,2.323,8.517,3.097,5.42,1.549,1.549,1.549,6.194,3.097,2.323,3.062,3.871,2.1,8.574,3.097,3.762,3.871,5.424,10.839,-2.712,5.687,-0.131
Positive_250,1,3.365,4.627,7.15,5.888,5.047,9.253,3.785,7.991,3.365,5.047,9.674,2.524,4.627,6.309,12.197,2.103,-0.806,4.206,-1.675,-4.28,10.094,-1.861,10.515,1.985,6.309,1.489,-4.28,-4.218
Positive_786,1,0.57,2.662,7.162,0.38,7.796,3.93,0.761,7.226,1.965,6.148,4.817,1.901,2.282,1.458,5.008,0.19,-1.132,0.634,1.241,-1.789,7.669,2.446,4.057,4.199,6.402,-0.584,1.862,6.17
Negative_1300,0,2.442,2.092,2.092,3.836,7.672,4.185,1.395,5.58,1.744,5.231,6.626,1.744,1.395,7.324,6.975,3.487,0.551,2.092,-3.093,2.669,8.719,-1.695,6.277,0.127,3.836,2.839,1.441,-2.585
Positive_805,1,3.43,3.859,6.003,3.001,4.287,6.86,2.572,3.43,2.572,6.86,9.432,1.715,2.572,5.145,6.431,0.857,1.639,0.857,5.882,2.521,6.431,0.966,3.859,0.924,3.859,0.756,1.471,-3.193
Negative_184,0,5.35,0.973,0.486,0.973,8.269,0.973,1.946,8.269,0.486,1.459,2.432,3.405,0.973,5.35,10.701,2.432,0.387,3.891,-1.779,3.867,5.837,0.077,7.296,1.779,5.837,-3.712,2.088,1.856
Negative_1087,0,2.754,0.918,2.938,1.101,5.692,2.754,2.019,5.692,1.101,4.04,4.223,1.101,3.672,3.305,8.078,1.101,3.077,1.101,3.171,4.113,5.508,3.454,3.122,2.669,2.571,2.92,4.772,0.188
Positive_493,1,1.458,4.761,3.789,3.497,5.344,5.247,4.47,5.83,3.789,6.315,6.51,2.235,3.692,6.996,12.34,1.458,1.984,2.624,0.712,-0.61,8.356,-0.509,8.064,1.322,4.955,2.238,-1.933,-0.712
