id,label,C,P,I,K,D,Y,F,S,N,E,V,Q,R,L
Negative_681,0,1.754,10.175,3.509,1.754,4.211,2.105,3.509,5.614,1.754,7.018,7.719,2.456,9.825,12.982
Positive_464,1,1.126,5.405,4.505,5.631,3.829,3.604,8.333,5.18,3.829,3.829,5.856,4.505,3.604,11.937
Positive_308,1,1.501,4.734,3.002,4.965,5.774,2.771,3.349,12.356,5.196,7.39,5.196,3.464,6.236,5.658
Negative_485,0,2.81,5.62,2.314,5.124,3.802,2.314,4.793,7.934,5.289,5.455,5.124,6.116,9.587,10.579
Positive_1003,1,2.888,3.61,6.498,6.498,6.859,6.137,5.776,5.415,3.61,5.054,4.693,2.527,4.332,7.22
Negative_716,0,0.926,10.185,0.0,8.333,2.778,2.778,3.704,11.111,3.704,5.556,2.778,7.407,5.556,10.185
Positive_178,1,2.99,3.987,4.651,6.312,2.99,4.319,6.312,7.641,2.99,3.322,6.312,4.319,3.987,10.631
Positive_827,1,1.499,2.998,6.852,4.711,5.782,4.283,7.066,10.707,4.069,4.069,7.495,2.784,5.782,8.351
Negative_519,0,4.969,12.422,3.106,4.348,4.348,1.242,0.0,4.969,2.484,3.727,4.348,3.106,6.211,11.18
Positive_433,1,1.835,5.505,6.422,9.174,6.422,5.505,5.963,4.587,4.587,8.257,2.752,1.835,4.587,12.385
Positive_1198,1,2.144,3.751,5.145,5.895,6.109,2.358,4.502,8.574,3.966,6.645,6.109,3.966,5.573,10.825
Negative_968,0,1.662,8.587,2.216,4.155,2.77,2.493,3.878,7.756,4.432,4.155,6.925,4.432,2.493,11.08
Negative_255,0,1.322,6.608,9.692,1.762,4.846,3.965,4.405,4.405,3.084,4.846,5.727,3.084,2.643,14.537
Positive_996,1,1.064,18.794,1.064,3.901,4.965,2.482,1.773,5.319,1.064,8.511,3.191,4.61,6.383,15.603
Positive_1052,1,1.072,6.202,3.599,4.058,5.13,4.288,4.441,5.972,4.441,6.126,4.671,5.743,5.207,11.639
Positive_251,1,2.288,5.065,4.739,6.373,4.412,3.758,4.739,6.373,4.248,7.68,6.209,4.412,5.065,10.294
Positive_629,1,1.587,4.762,4.167,4.365,5.754,3.175,4.167,5.952,3.373,5.556,5.556,4.167,7.937,11.111
Negative_553,0,3.25,6.0,2.75,3.25,5.25,1.25,3.75,9.0,1.5,10.75,6.25,4.75,9.75,8.75
Positive_136,1,2.81,5.855,1.639,3.747,4.918,3.279,5.152,3.044,1.171,8.431,5.621,5.386,7.728,10.539
Positive_983,1,1.708,4.744,7.021,7.211,4.364,4.744,3.226,4.554,3.605,7.59,7.78,3.036,5.123,7.59
Positive_911,1,1.094,4.705,5.689,6.346,5.58,4.376,5.252,7.44,3.392,7.44,6.346,3.829,4.267,8.753
Negative_362,0,1.699,10.437,1.942,3.641,4.612,3.155,4.126,6.553,1.456,8.738,4.126,5.34,8.495,8.738
Positive_103,1,2.217,3.769,5.543,3.326,4.878,2.882,4.878,6.874,5.322,8.204,6.874,4.656,5.1,7.982
Negative_640,0,9.649,4.386,7.018,9.649,6.14,3.509,3.509,7.018,6.14,7.018,8.772,1.754,1.754,4.386
Negative_979,0,4.507,8.451,1.69,1.972,4.225,1.972,2.254,7.887,1.69,3.944,5.352,4.507,4.789,15.775
Negative_965,0,6.522,4.891,6.522,5.978,4.348,2.174,2.717,9.239,4.891,7.065,3.804,2.717,3.261,12.5
Positive_990,1,3.051,4.52,6.554,4.859,6.328,2.26,3.729,8.588,4.746,6.102,5.989,3.842,6.215,7.458
Positive_4,1,3.401,5.933,4.776,4.848,5.065,3.69,4.269,7.598,5.21,7.67,6.295,2.75,5.933,9.841
Positive_819,1,2.676,5.474,6.569,5.109,5.474,3.041,3.65,7.178,6.326,5.353,6.691,3.406,3.65,9.124
Negative_80,0,4.267,5.333,6.933,8.533,4.533,1.067,4.0,6.133,2.933,5.333,9.6,1.867,2.4,7.733
Negative_377,0,1.695,7.627,4.237,5.932,9.322,0.847,5.932,6.78,0.847,7.627,5.085,5.932,5.932,8.475
Negative_1255,0,2.017,6.476,3.397,3.715,6.794,2.548,2.76,13.27,5.414,7.219,4.671,3.291,7.006,7.856
Positive_405,1,2.299,6.034,6.034,6.609,5.747,1.724,5.172,6.322,3.448,8.908,6.897,4.31,2.874,9.77
Negative_373,0,3.356,8.725,2.685,2.685,2.685,2.013,1.342,8.054,3.356,4.027,3.356,6.04,14.765,8.054
Negative_638,0,4.898,5.058,3.774,5.741,6.263,3.894,4.014,8.992,4.135,5.861,6.985,3.613,4.576,7.668
Negative_363,0,1.695,5.932,5.932,3.39,3.39,0.0,5.932,7.627,3.39,5.932,5.932,2.542,5.932,12.712
Negative_1162,0,5.333,6.667,5.333,9.333,4.0,1.333,4.0,6.667,2.667,8.0,5.333,2.667,4.0,8.0
Positive_537,1,1.368,5.473,6.404,3.777,6.24,5.036,5.419,5.747,6.459,4.926,5.911,4.652,4.762,7.28
Negative_777,0,0.781,7.031,7.422,3.125,4.688,0.781,1.562,4.688,4.688,2.344,8.594,4.688,1.953,22.656
Positive_44,1,2.717,1.63,4.348,3.261,8.152,1.087,1.63,9.783,3.261,5.435,5.978,1.087,7.609,10.326
Negative_891,0,1.717,6.009,3.863,2.575,5.15,6.438,7.296,8.155,3.863,3.433,7.296,6.009,2.575,6.867
Negative_72,0,2.349,8.725,2.013,4.027,3.691,2.685,3.02,6.711,1.342,6.04,6.04,6.04,10.067,9.06
Negative_510,0,2.249,7.439,3.46,3.633,4.498,2.076,4.325,11.419,3.46,6.92,5.536,3.979,3.979,11.938
Negative_51,0,4.348,4.348,4.348,0.0,2.899,4.348,5.797,10.145,7.246,2.899,4.348,5.797,1.449,14.493
Negative_754,0,2.083,11.458,2.083,1.736,4.514,1.389,4.167,8.681,2.431,4.861,8.681,4.861,8.333,7.986
Negative_10,0,3.125,1.042,11.458,2.083,4.167,3.125,11.458,8.333,5.208,1.042,11.458,5.208,0.0,14.583
Negative_600,0,3.934,7.213,2.295,1.967,6.23,1.967,2.295,9.508,4.918,4.918,5.902,4.59,4.918,14.426
Positive_67,1,2.407,7.778,4.074,4.198,3.642,2.284,3.21,8.642,4.012,6.296,5.556,3.889,5.309,10.123
Positive_1019,1,1.106,5.444,4.679,6.721,5.147,3.36,4.636,9.315,5.317,6.295,5.317,4.679,4.424,9.443
Positive_1136,1,4.167,4.356,4.545,6.061,5.871,4.545,5.682,5.303,3.22,7.955,5.492,4.167,4.735,9.848
Positive_92,1,0.328,3.607,6.885,8.689,4.59,3.77,1.967,6.885,5.246,6.393,9.016,2.459,6.885,8.033
Negative_114,0,1.315,10.144,2.567,3.444,3.82,1.44,2.755,11.522,2.63,10.144,4.822,6.512,7.013,8.704
Negative_604,0,4.124,5.155,3.093,4.124,6.186,3.093,0.0,8.247,2.062,6.186,4.124,3.093,10.309,16.495
Negative_258,0,0.877,7.895,3.509,9.649,3.509,7.895,4.386,6.14,1.754,2.632,6.14,5.263,1.754,8.772
Negative_671,0,3.571,8.036,2.679,4.464,5.357,1.786,8.036,14.286,1.786,1.786,3.571,2.679,3.571,12.5
Positive_190,1,1.741,7.911,3.244,4.509,4.826,2.69,3.323,5.459,2.215,6.566,7.437,4.747,6.962,10.918
Negative_943,0,1.633,13.249,4.719,3.267,5.989,2.178,4.174,7.623,2.722,5.808,5.445,5.808,6.534,7.804
Positive_1150,1,1.778,4.444,4.222,3.556,5.778,3.778,4.889,7.111,4.667,8.222,6.889,4.667,4.889,7.333
Negative_1124,0,3.794,5.014,2.168,3.388,5.827,3.794,3.388,7.453,3.117,5.827,8.266,3.659,5.827,9.621
Positive_1148,1,2.022,4.852,5.795,6.065,6.132,3.706,4.784,9.771,5.054,5.66,6.739,3.302,4.987,6.806
Negative_926,0,1.425,12.212,2.035,5.326,5.597,0.78,1.73,10.244,1.696,9.871,4.681,5.461,3.935,7.123
Positive_69,1,5.206,3.254,5.423,6.074,4.121,3.471,4.555,5.857,6.941,9.328,8.026,3.037,4.338,6.074
Negative_984,0,0.912,10.942,0.608,2.128,5.167,0.912,2.736,13.374,1.52,9.119,7.295,2.128,6.687,6.991
Positive_1144,1,2.482,6.028,3.191,5.674,7.092,1.418,4.61,7.092,3.191,10.284,6.383,3.546,5.319,10.993
Positive_88,1,1.772,8.071,1.969,1.969,2.559,2.165,4.134,6.102,1.772,6.89,7.283,3.937,9.646,12.992
Positive_993,1,1.887,3.302,9.434,4.717,3.066,1.651,4.481,7.783,5.189,6.368,8.255,3.538,7.547,8.491
Negative_385,0,0.624,9.204,2.34,4.524,3.9,1.092,2.496,11.856,4.368,5.616,4.68,6.084,4.992,8.736
Negative_1079,0,2.593,5.556,1.481,4.444,2.963,3.333,4.444,7.037,3.704,7.037,4.815,7.037,7.778,13.333
Positive_758,1,1.667,4.259,5.926,2.222,6.111,3.148,2.778,5.37,3.889,6.667,7.407,2.778,7.593,9.63
Positive_1107,1,1.957,5.871,5.871,3.523,5.284,3.914,6.262,5.284,3.523,6.262,6.458,2.153,6.654,9.393
Positive_347,1,1.361,4.762,0.0,7.483,4.762,2.041,5.442,3.401,4.082,5.442,12.245,2.041,2.041,12.245
Negative_460,0,3.261,4.891,3.261,8.696,4.348,3.261,5.435,6.522,2.717,7.065,8.696,3.261,3.804,11.413
Negative_1216,0,0.515,14.433,2.062,2.577,7.216,1.031,2.062,4.639,2.577,8.763,3.608,4.124,7.732,8.247
Negative_283,0,3.625,6.397,3.198,0.426,2.132,2.559,5.757,8.529,2.772,3.412,10.235,2.345,2.772,17.697
Positive_538,1,1.695,4.746,5.085,6.78,3.729,4.068,4.407,7.797,5.424,7.119,10.169,3.39,4.068,6.78
Positive_847,1,0.879,9.139,4.394,3.866,6.151,3.866,6.151,7.381,3.691,4.394,3.866,3.866,8.436,7.733
Negative_947,0,1.744,8.14,6.395,1.744,3.488,2.907,4.07,5.233,2.326,3.488,5.814,4.07,7.558,8.14
Positive_1197,1,3.766,3.766,5.439,5.439,5.858,5.021,4.184,3.766,3.766,7.113,6.276,1.674,7.95,10.46
Positive_182,1,1.771,3.858,7.084,4.175,4.175,2.467,5.123,7.147,3.163,5.123,7.211,4.491,5.376,13.409
Negative_3,0,2.439,12.195,2.439,0.0,2.439,0.0,0.0,12.195,0.0,7.317,2.439,4.878,17.073,2.439
Negative_678,0,10.366,8.537,0.61,1.829,4.268,1.829,4.878,6.098,2.439,6.707,2.439,4.878,7.317,9.756
Positive_423,1,1.214,4.854,6.553,8.01,3.883,4.612,3.641,5.825,3.883,8.495,7.282,4.126,4.854,8.252
Negative_486,0,0.0,11.47,2.509,1.792,10.036,0.717,8.602,9.677,1.434,8.602,3.584,3.226,9.319,5.735
Positive_1109,1,1.689,3.716,3.378,6.081,5.068,2.703,5.068,10.135,2.365,7.432,6.419,4.73,7.095,10.811
Positive_1077,1,0.882,6.878,4.233,6.702,4.056,2.469,4.762,6.173,3.527,6.526,7.055,3.88,2.822,11.111
Negative_148,0,0.942,12.685,1.707,3.948,3.693,2.42,1.503,10.851,1.223,7.005,3.719,6.979,6.673,7.259
Negative_222,0,1.425,9.972,3.704,8.547,3.134,1.425,2.849,9.117,0.855,8.832,4.843,7.977,5.983,11.111
Positive_980,1,0.906,4.23,6.949,6.949,4.532,3.927,4.532,8.459,4.23,7.251,10.876,2.719,3.927,10.574
Negative_1068,0,0.0,9.459,4.054,2.703,6.757,6.757,1.351,2.703,5.405,2.703,9.459,5.405,0.0,10.811
Negative_990,0,1.603,4.808,2.564,3.526,1.923,1.282,4.167,6.41,2.244,9.615,5.449,6.09,5.449,10.897
Negative_9,0,3.889,8.889,0.556,2.778,5.556,0.556,2.222,8.333,0.556,4.444,5.0,6.667,10.0,4.444
Negative_1198,0,1.19,12.5,0.0,2.381,1.786,0.0,1.786,8.929,1.19,3.571,1.19,7.738,16.667,4.762
Negative_1006,0,3.226,7.258,5.645,5.645,5.645,2.419,5.645,8.065,4.032,6.452,0.806,3.226,7.258,17.742
Negative_1302,0,2.326,7.641,6.312,2.658,2.99,4.983,2.99,5.316,2.99,1.661,4.983,1.993,6.977,12.625
Positive_1043,1,1.216,4.863,7.295,4.863,6.383,1.52,1.216,5.167,2.736,10.942,9.119,3.04,6.991,11.55
Positive_81,1,2.108,3.513,3.513,4.684,2.576,1.874,3.044,4.918,2.342,3.981,7.728,4.684,6.792,17.096
Negative_949,0,1.701,8.844,3.741,5.102,4.082,3.061,3.061,6.122,3.061,6.463,6.122,6.463,6.803,11.565
Positive_406,1,1.104,6.258,7.853,4.908,3.926,2.454,5.767,7.362,2.822,5.89,8.466,2.577,4.417,12.27
Positive_161,1,2.053,5.865,4.888,4.888,5.572,3.03,4.888,5.963,4.203,6.354,7.038,4.692,5.963,9.189
Negative_1276,0,5.983,8.547,1.709,3.419,0.855,0.855,2.564,10.256,1.709,7.692,5.128,6.838,4.274,7.692
Negative_360,0,4.404,6.995,3.368,4.663,5.959,3.109,4.663,9.326,2.85,6.477,7.254,3.368,5.699,11.399
Negative_802,0,3.416,5.503,5.882,6.262,6.262,3.605,5.313,7.97,5.882,6.262,6.262,2.657,3.416,7.021
Negative_694,0,2.469,4.938,6.173,1.235,0.0,4.938,6.173,4.938,2.469,4.938,8.642,6.173,11.111,9.877
Negative_782,0,0.481,3.365,4.808,3.846,2.404,1.923,0.962,15.385,5.288,2.885,6.25,1.923,2.404,7.212
Negative_1299,0,2.17,7.532,2.66,4.404,4.851,1.574,2.362,12.106,3.149,7.702,5.447,6.511,6.191,9.213
Negative_516,0,3.247,8.225,1.623,0.974,3.03,1.407,2.273,6.926,3.03,7.576,7.684,2.922,8.333,9.524
Positive_1030,1,1.156,2.312,6.069,9.249,7.514,3.179,3.179,5.491,3.757,7.514,5.491,3.757,5.491,9.827
Positive_541,1,2.446,2.536,6.25,6.522,4.982,3.804,6.341,6.159,5.707,6.703,6.975,3.351,4.982,11.051
Negative_45,0,0.0,42.623,0.0,6.557,1.639,0.0,0.0,4.918,3.279,0.0,0.0,14.754,4.918,0.0
Negative_403,0,4.863,7.903,3.04,1.216,2.432,2.128,6.079,7.295,0.912,3.343,6.687,2.432,5.775,18.845
Negative_351,0,1.639,3.689,3.689,5.738,3.689,1.23,2.869,7.787,2.869,5.738,7.377,2.869,3.689,8.607
Negative_1035,0,0.862,6.897,2.586,4.31,5.172,0.862,5.172,8.621,4.31,6.034,1.724,6.034,10.345,17.241
Positive_642,1,2.326,3.359,4.91,7.494,8.01,4.134,5.426,5.168,3.876,5.685,6.977,4.651,5.168,9.561
Negative_186,0,1.093,7.65,1.639,4.918,0.546,2.186,4.918,4.918,1.639,8.743,4.372,6.557,6.011,13.115
Positive_141,1,1.262,4.854,5.243,3.107,6.699,4.757,5.049,5.243,5.534,6.117,6.796,4.951,5.243,7.379
Negative_490,0,2.364,6.619,5.201,5.674,3.546,3.31,2.837,7.092,3.31,6.383,5.437,5.437,6.383,10.875
Negative_1224,0,4.487,8.974,6.41,3.205,4.487,1.923,3.846,7.692,4.487,7.051,3.205,1.282,5.128,8.333
Negative_874,0,2.795,3.106,6.522,4.969,7.143,2.174,1.242,10.559,4.969,5.28,8.385,4.037,2.795,5.28
Positive_453,1,2.16,6.173,3.807,4.218,4.424,3.704,4.012,8.23,4.63,5.658,7.716,5.144,4.115,10.7
Positive_474,1,1.663,4.545,5.322,6.541,5.987,1.885,4.878,4.878,3.659,6.984,8.869,3.326,4.324,8.869
Negative_1295,0,2.128,4.255,3.191,10.638,2.66,3.191,3.723,9.043,4.255,1.064,7.447,1.596,10.638,10.638
Positive_267,1,1.367,5.239,6.15,6.378,5.467,4.1,3.645,5.239,4.1,6.15,7.973,2.05,4.784,10.478
Negative_734,0,1.471,7.353,1.471,2.206,2.941,2.206,6.618,6.618,1.471,5.882,2.206,2.941,11.765,11.765
Negative_854,0,2.246,5.763,2.545,3.144,4.042,2.919,3.368,6.662,1.946,7.485,6.437,5.165,6.362,14.521
Negative_746,0,1.849,6.009,2.773,2.465,2.928,2.157,5.085,6.626,1.695,8.629,8.32,3.852,5.085,11.402
Positive_672,1,3.54,5.815,4.298,6.7,6.068,2.908,3.54,6.7,3.919,6.827,5.815,3.793,5.183,9.229
Negative_592,0,5.128,7.692,6.41,3.846,5.128,2.564,2.564,7.692,3.846,8.974,3.846,5.128,3.846,15.385
Positive_503,1,1.907,4.529,4.529,5.959,5.483,3.933,5.602,7.271,3.933,5.84,5.721,3.337,5.244,12.157
Positive_570,1,0.525,5.774,5.512,6.299,3.15,3.937,2.362,6.562,3.675,4.987,6.562,5.774,3.412,9.186
Negative_800,0,3.089,4.633,3.475,3.475,3.475,2.317,2.317,8.494,1.931,3.475,5.405,4.633,9.266,18.533
Negative_204,0,4.93,7.042,4.225,5.634,7.042,3.521,3.521,7.042,3.521,16.901,2.113,4.93,2.817,3.521
Negative_17,0,1.695,6.78,1.695,3.39,1.695,3.39,10.169,13.559,1.695,0.0,1.695,1.695,3.39,6.78
Positive_1206,1,0.285,7.407,1.709,2.849,6.838,2.279,3.704,2.564,2.279,5.128,10.541,5.128,8.262,11.396
Negative_667,0,1.873,7.116,2.809,3.745,4.682,1.498,3.745,9.925,2.809,4.494,7.116,3.933,7.303,11.423
Positive_1125,1,1.583,6.043,4.748,4.029,4.317,3.022,4.46,9.209,1.295,4.892,7.482,3.741,8.633,9.64
Negative_939,0,2.562,7.686,2.032,3.534,3.004,2.473,4.152,6.625,1.855,3.975,7.774,4.152,11.042,12.986
Negative_162,0,2.519,6.492,2.422,3.779,4.167,1.55,1.357,7.849,1.647,11.434,4.845,6.395,10.271,13.372
Positive_211,1,0.383,6.513,3.831,6.897,5.364,3.065,4.215,11.494,6.513,4.981,6.513,3.448,2.682,7.663
Negative_708,0,2.058,6.996,2.469,4.115,5.761,4.115,1.646,11.523,2.469,9.465,3.704,5.761,5.761,8.642
Negative_1221,0,2.624,4.373,0.875,7.289,6.122,2.624,2.624,8.163,2.624,7.872,4.373,4.082,7.289,11.662
Negative_408,0,1.07,5.882,1.604,2.406,3.743,1.604,3.476,6.417,2.674,6.952,5.882,5.882,9.626,16.845
Negative_208,0,6.667,5.455,4.242,7.273,3.03,2.424,4.242,7.273,5.455,11.515,6.667,0.606,6.667,12.121
Positive_646,1,1.149,6.13,3.065,6.513,4.598,2.299,4.598,6.13,2.299,6.897,7.28,2.682,9.195,8.812
Positive_71,1,5.206,4.338,3.905,5.206,6.508,1.735,3.254,7.809,2.82,7.375,6.291,3.254,6.074,10.629
Negative_281,0,3.089,14.286,1.544,0.386,6.95,0.0,3.475,11.197,2.317,7.722,3.861,3.475,6.564,11.969
Negative_960,0,4.167,4.167,5.208,4.167,4.167,7.292,1.562,6.25,2.083,5.729,6.771,3.125,5.729,12.5
Negative_413,0,2.941,4.118,6.275,6.078,3.922,3.725,4.51,8.235,3.137,4.706,5.882,1.569,4.706,11.373
Positive_531,1,2.551,3.189,5.995,6.25,4.847,2.423,4.847,10.204,6.25,6.633,4.847,3.316,4.082,15.434
Negative_642,0,4.396,7.143,1.648,6.044,2.198,2.198,3.846,8.242,2.198,6.593,3.846,2.747,6.044,9.89
Positive_553,1,1.52,4.223,5.068,6.25,5.574,3.041,3.209,6.588,4.054,6.25,8.784,3.378,4.73,9.628
Positive_110,1,0.899,6.79,5.531,5.71,5.98,3.687,3.507,11.106,4.991,6.43,4.047,4.631,4.137,9.083
Positive_59,1,2.404,7.933,3.365,3.846,2.644,3.486,4.808,9.856,3.846,3.125,5.889,4.207,6.611,12.26
Positive_934,1,1.268,4.017,6.554,4.651,5.92,4.863,5.285,6.342,5.074,3.594,7.822,2.537,7.188,9.937
Positive_147,1,1.741,4.836,4.836,5.609,5.416,3.288,4.836,4.449,4.062,5.222,8.897,5.029,4.836,7.157
Negative_1284,0,3.846,7.418,3.297,2.473,3.297,4.396,4.396,8.791,1.374,6.319,5.769,5.22,4.396,15.659
Negative_209,0,7.194,3.597,4.317,5.036,6.475,3.597,5.036,7.194,4.317,8.633,5.036,2.158,6.475,9.353
Negative_176,0,2.273,12.879,1.515,0.0,1.515,0.0,1.515,3.03,0.0,0.758,6.061,3.788,18.939,9.091
Negative_303,0,4.138,8.276,1.379,0.69,1.379,0.69,0.69,7.586,3.448,3.448,7.586,8.966,7.586,11.034
Positive_482,1,1.21,4.435,6.653,4.032,2.218,6.452,6.452,10.282,4.032,4.435,10.282,3.629,2.016,10.685
Positive_866,1,1.064,0.532,9.043,12.234,1.596,6.915,4.787,4.787,12.234,10.638,3.723,3.191,1.064,9.043
Negative_1259,0,2.174,15.217,1.63,2.174,4.348,0.0,1.087,5.978,0.0,4.891,6.522,2.717,8.152,12.5
Negative_226,0,4.783,10.87,3.043,9.565,2.609,5.217,3.043,6.522,2.174,7.826,4.348,4.348,3.913,9.565
Positive_751,1,0.843,5.422,3.855,3.494,5.783,3.494,3.373,5.783,2.169,6.265,6.867,3.253,5.663,9.88
Positive_623,1,1.695,7.627,6.78,5.932,5.085,1.695,2.542,5.085,3.39,5.932,8.475,6.78,5.085,5.932
Negative_111,0,0.585,6.14,6.14,2.632,1.462,3.216,5.556,7.018,3.509,3.801,9.357,2.339,3.801,10.234
Positive_320,1,1.695,8.051,5.508,4.237,4.661,3.39,4.237,4.237,2.542,6.78,5.085,2.542,4.661,8.051
Positive_34,1,1.855,9.276,5.937,2.783,2.412,2.597,7.421,7.05,1.484,6.865,6.308,4.453,4.453,10.946
Positive_18,1,2.071,8.283,4.832,3.02,4.745,2.416,3.969,8.887,3.02,5.177,5.781,2.934,7.334,10.871
Positive_884,1,0.705,6.173,2.822,4.938,4.762,2.646,2.646,6.526,2.293,5.644,7.76,4.409,6.349,12.169
Positive_183,1,1.174,3.756,10.798,5.399,3.286,2.347,5.869,7.042,3.286,5.634,7.512,3.052,4.225,9.39
Negative_234,0,1.778,8.889,0.889,3.556,4.889,3.556,3.111,4.444,3.556,3.556,2.667,4.0,6.222,16.889
Positive_53,1,2.899,5.797,5.797,5.314,5.797,5.314,0.966,6.28,4.831,6.28,6.763,4.831,6.28,8.213
Positive_767,1,1.347,5.387,6.902,6.734,6.397,2.189,2.02,3.03,2.694,6.902,10.101,2.189,3.03,6.397
Negative_930,0,3.419,4.786,3.59,4.103,6.154,2.735,3.248,13.162,3.59,12.479,6.325,3.077,4.957,7.009
Positive_976,1,1.842,6.814,4.604,4.604,4.788,2.394,3.131,6.63,2.21,4.604,7.366,4.052,6.63,11.234
Negative_323,0,4.58,4.58,1.527,6.87,4.58,0.763,0.763,8.397,6.107,11.45,3.817,6.107,4.58,14.504
Positive_795,1,4.043,3.404,6.596,6.596,4.043,3.404,3.617,6.809,5.532,6.596,4.468,8.511,4.468,9.574
Negative_63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,11.111,11.111,11.111,0.0,0.0,0.0
Negative_438,0,1.66,11.618,2.905,2.905,4.979,1.66,2.49,7.884,0.83,3.32,6.639,2.905,8.714,16.183
