id,label,_NormalizedVDWVC1,_PolarityC2,_NormalizedVDWVT23,_HydrophobicityC2,_NormalizedVDWVC3,_ChargeC3,_ChargeD2001,_SolventAccessibilityD3001,_HydrophobicityD3001,_PolarityD1001,_HydrophobicityT13,_SecondaryStrD1001,_SecondaryStrC2,_PolarizabilityC3,_SolventAccessibilityC3,_PolarizabilityT13,_PolarizabilityD3001,_NormalizedVDWVC2,_PolarityT13,_NormalizedVDWVD3001,_PolarizabilityC2,_PolarityD3001,_ChargeT23,_SecondaryStrD2001,_ChargeC2,_SolventAccessibilityC2,_SecondaryStrT12,_PolarizabilityD2001,_SolventAccessibilityT12,_SolventAccessibilityD2001,_ChargeT13,_SecondaryStrC3,_SolventAccessibilityD1001,_NormalizedVDWVD1001,_HydrophobicityC1,_NormalizedVDWVD2001,_PolarityC1,_SecondaryStrT13,_SecondaryStrT23,_PolarityC3,_HydrophobicityD2001,_HydrophobicityD1001,_PolarizabilityC1,_ChargeD1075,_HydrophobicityC3,_SolventAccessibilityT13,_ChargeD3001,_SecondaryStrD3001,_PolarityD2001,_PolarityT23,_ChargeD1050,_SecondaryStrD1075,_SolventAccessibilityC1,_PolarizabilityD1001,_ChargeT12,_SecondaryStrC1,_ChargeD1025,_ChargeD3100,_PolarityD1025,_ChargeC1,_SecondaryStrD2075,_PolarityT12,_ChargeD3075,_PolarizabilityT23,_SecondaryStrD2025,_NormalizedVDWVD3050,_ChargeD3050,_SecondaryStrD3050,_ChargeD3025,_NormalizedVDWVD3025,_HydrophobicityT12,_PolarityD1050,_SolventAccessibilityD2075,_PolarizabilityD3075,_PolarizabilityD1050,_SolventAccessibilityD1025,_SolventAccessibilityT23,_SolventAccessibilityD1075,_PolarityD2050,_PolarityD1075,_PolarizabilityT12,_ChargeD1001,_PolarizabilityD3050,_HydrophobicityD3025,_SecondaryStrD2050,_ChargeD2075,_SecondaryStrD3025,_PolarizabilityD3025,_SecondaryStrD3075,_SolventAccessibilityD3025,_PolarizabilityD2075,_NormalizedVDWVD1075,_NormalizedVDWVD2050,_SecondaryStrD1050,_PolarityD3075,_PolarityD2025,_PolarizabilityD2050,_HydrophobicityT23,_NormalizedVDWVD3075,_HydrophobicityD3075,_PolarizabilityD2025,_HydrophobicityD3050
Negative_236,0,0.403,0.312,0.19,0.375,0.257,0.095,0.395,0.395,0.395,0.395,0.151,0.395,0.36,0.257,0.269,0.127,0.395,0.34,0.202,0.395,0.423,0.791,0.151,1.976,0.83,0.229,0.274,1.186,0.163,0.791,0.016,0.253,1.976,0.791,0.229,1.186,0.439,0.179,0.179,0.249,2.372,0.791,0.32,65.217,0.395,0.286,0.791,0.791,2.372,0.115,37.945,79.447,0.502,0.791,0.119,0.387,24.506,96.047,27.273,0.075,69.17,0.302,47.826,0.234,21.739,45.455,26.087,42.688,20.553,25.296,0.151,54.941,55.336,75.494,47.826,29.644,0.139,76.285,50.593,74.308,0.313,1.581,45.455,30.435,44.269,75.099,20.553,25.296,68.775,22.134,74.308,73.518,51.779,56.522,69.96,23.32,53.755,0.329,75.494,74.308,28.458,56.126
Positive_657,1,0.303,0.268,0.243,0.354,0.344,0.057,0.318,0.318,0.318,0.318,0.16,0.318,0.369,0.344,0.271,0.16,0.318,0.354,0.22,0.318,0.398,1.592,0.089,3.503,0.844,0.242,0.3,0.955,0.204,1.592,0.022,0.239,0.637,0.637,0.242,0.955,0.465,0.182,0.179,0.268,0.637,1.592,0.258,88.217,0.404,0.294,1.592,0.637,0.637,0.141,66.879,78.981,0.487,0.637,0.137,0.392,24.204,100.0,25.159,0.099,69.108,0.262,44.904,0.284,26.752,52.866,30.573,42.675,7.643,29.936,0.163,46.178,87.261,77.389,53.185,26.752,0.118,71.338,56.369,68.153,0.214,8.599,52.866,23.885,49.682,72.611,16.242,29.936,77.07,20.382,71.019,76.752,43.949,52.548,86.306,20.064,43.949,0.304,77.389,68.153,22.611,45.86
Positive_427,1,0.373,0.301,0.202,0.359,0.249,0.15,0.124,0.124,0.124,0.124,0.187,0.124,0.259,0.249,0.225,0.153,0.124,0.378,0.24,0.124,0.419,0.373,0.222,0.622,0.721,0.357,0.242,0.373,0.291,0.373,0.045,0.267,1.244,0.249,0.357,0.373,0.316,0.248,0.138,0.383,0.249,0.373,0.332,74.627,0.284,0.198,0.746,0.249,0.249,0.235,50.498,76.119,0.418,0.249,0.172,0.474,28.731,99.876,23.259,0.128,74.751,0.2,79.104,0.219,21.891,49.129,51.493,43.159,26.119,26.741,0.254,50.124,77.488,74.751,47.388,23.259,0.149,72.512,47.761,74.751,0.278,1.368,49.129,23.134,44.776,73.507,19.652,26.741,70.025,21.269,76.244,71.642,52.114,53.731,77.363,21.766,51.866,0.234,74.751,75.746,24.627,49.751
Negative_421,0,0.428,0.366,0.162,0.408,0.22,0.107,0.202,0.202,0.202,0.202,0.188,0.202,0.251,0.22,0.202,0.138,0.202,0.352,0.217,0.202,0.446,0.404,0.176,0.808,0.786,0.277,0.221,0.606,0.302,0.404,0.026,0.257,0.606,0.808,0.277,0.606,0.343,0.219,0.148,0.291,0.808,0.404,0.333,64.646,0.315,0.219,11.111,3.434,0.808,0.213,49.293,68.485,0.521,0.808,0.176,0.493,23.434,96.768,25.253,0.107,77.98,0.227,77.172,0.209,25.455,55.556,61.212,56.162,28.687,29.091,0.241,54.343,76.566,79.596,45.859,25.859,0.128,71.515,44.242,75.152,0.277,0.404,55.556,25.253,59.192,74.545,26.263,29.091,80.808,22.424,75.96,70.707,49.495,45.859,78.586,23.636,47.677,0.239,79.596,75.152,21.212,50.101
Negative_1115,0,0.473,0.415,0.133,0.449,0.204,0.133,0.34,0.34,0.34,0.34,0.147,0.34,0.129,0.204,0.265,0.123,0.34,0.323,0.177,0.34,0.429,1.361,0.205,0.68,0.752,0.282,0.147,1.02,0.201,1.361,0.027,0.367,0.68,2.381,0.282,1.02,0.276,0.331,0.113,0.31,2.381,1.361,0.367,52.041,0.269,0.232,7.823,2.381,2.381,0.259,35.714,78.231,0.452,2.381,0.157,0.503,10.204,98.299,31.633,0.116,74.15,0.218,89.796,0.188,19.728,39.456,40.136,41.837,17.687,10.544,0.242,62.585,68.027,69.048,45.918,37.415,0.188,78.571,46.599,76.871,0.307,1.361,39.456,31.633,46.939,75.85,19.048,10.544,65.306,16.667,76.871,70.748,61.565,58.844,72.109,23.469,57.483,0.242,69.048,77.891,27.891,63.265
Negative_1056,0,0.435,0.352,0.159,0.415,0.239,0.102,0.134,0.134,0.134,0.134,0.181,0.134,0.307,0.239,0.319,0.167,0.134,0.326,0.226,0.134,0.411,0.537,0.164,0.403,0.812,0.263,0.251,0.403,0.22,0.537,0.016,0.317,0.268,0.268,0.263,0.671,0.356,0.208,0.187,0.293,0.268,0.537,0.35,79.463,0.322,0.298,5.369,0.94,0.268,0.195,53.289,73.96,0.417,0.268,0.145,0.376,24.027,99.06,25.235,0.086,73.289,0.276,74.362,0.188,24.161,47.248,57.852,53.557,27.517,23.624,0.211,48.322,71.812,73.96,50.872,24.161,0.172,75.839,49.53,71.275,0.309,0.537,47.248,24.698,49.128,74.765,23.758,23.624,76.376,24.43,70.201,78.523,49.128,47.248,72.349,22.819,49.262,0.301,73.96,71.275,27.517,47.383
Positive_330,1,0.417,0.363,0.155,0.414,0.218,0.109,0.302,0.302,0.302,0.302,0.191,0.302,0.248,0.218,0.23,0.164,0.302,0.366,0.233,0.302,0.423,0.906,0.136,1.208,0.776,0.284,0.212,1.511,0.279,0.906,0.027,0.257,1.511,0.604,0.284,1.511,0.32,0.248,0.139,0.317,0.604,0.906,0.36,70.695,0.302,0.224,6.949,0.604,0.604,0.206,48.943,79.154,0.486,0.604,0.176,0.495,22.356,98.489,22.659,0.115,70.091,0.218,85.196,0.176,19.94,48.943,48.036,50.453,32.024,28.399,0.212,47.13,79.154,72.205,49.849,20.544,0.124,73.112,52.568,70.091,0.309,0.906,48.943,24.773,45.619,73.716,24.471,28.399,74.32,26.888,78.248,75.529,47.432,49.245,72.205,17.825,48.64,0.255,72.205,70.091,26.586,46.224
Negative_623,0,0.47,0.4,0.103,0.438,0.146,0.205,0.541,0.541,0.541,0.541,0.141,0.541,0.168,0.146,0.27,0.125,0.541,0.384,0.168,0.541,0.486,2.162,0.261,8.649,0.741,0.346,0.163,1.622,0.228,2.162,0.022,0.357,1.081,1.081,0.346,2.162,0.227,0.315,0.12,0.373,1.081,2.162,0.368,86.486,0.216,0.261,2.162,1.081,1.081,0.228,76.757,77.297,0.384,1.081,0.071,0.476,7.027,91.351,20.0,0.054,77.838,0.217,63.243,0.114,18.378,53.514,44.865,46.486,28.649,12.973,0.245,54.054,72.432,78.378,48.649,22.162,0.158,80.0,45.946,76.216,0.332,2.703,53.514,20.0,49.73,75.676,23.243,12.973,68.108,18.378,71.351,72.432,49.73,54.595,69.189,22.162,49.73,0.223,78.378,78.378,29.189,55.676
Negative_846,0,0.415,0.369,0.186,0.428,0.222,0.061,0.169,0.169,0.169,0.169,0.136,0.169,0.296,0.222,0.277,0.137,0.169,0.364,0.158,0.169,0.45,1.523,0.092,0.338,0.858,0.212,0.227,0.338,0.197,1.523,0.017,0.272,0.338,0.508,0.212,0.338,0.401,0.22,0.153,0.23,0.508,1.523,0.328,66.497,0.36,0.271,1.523,0.508,0.508,0.173,42.809,77.834,0.511,0.677,0.132,0.431,26.565,98.816,20.643,0.081,67.682,0.281,82.572,0.214,21.658,42.978,43.993,50.931,14.89,21.997,0.171,45.516,79.526,63.113,53.807,26.904,0.11,71.743,54.653,67.513,0.303,1.692,42.978,20.981,48.054,74.958,27.58,21.997,82.91,20.643,78.511,82.064,48.223,51.269,78.849,28.088,49.746,0.297,63.113,68.02,20.812,45.685
Negative_201,0,0.481,0.433,0.146,0.49,0.327,0.077,0.962,0.962,0.962,0.962,0.126,0.962,0.212,0.327,0.365,0.223,0.962,0.192,0.184,0.962,0.308,2.885,0.107,5.769,0.779,0.26,0.184,4.808,0.223,2.885,0.029,0.346,1.923,1.923,0.26,14.423,0.279,0.301,0.107,0.288,1.923,2.885,0.365,73.077,0.25,0.301,17.308,1.923,1.923,0.214,34.615,76.923,0.375,1.923,0.223,0.442,11.538,88.462,25.0,0.144,75.962,0.233,68.269,0.194,24.038,48.077,38.462,41.346,21.154,13.462,0.233,56.731,76.923,74.038,45.192,25.962,0.136,78.846,42.308,74.038,0.243,2.885,48.077,14.423,48.077,74.038,21.154,13.462,66.346,23.077,77.885,64.423,71.154,50.962,76.923,25.962,53.846,0.252,74.038,71.154,29.808,51.923
Negative_683,0,0.423,0.361,0.104,0.423,0.237,0.124,1.031,1.031,1.031,1.031,0.104,1.031,0.175,0.237,0.309,0.135,1.031,0.34,0.135,1.031,0.423,4.124,0.177,13.402,0.753,0.299,0.177,2.062,0.167,4.124,0.01,0.309,2.062,3.093,0.299,2.062,0.33,0.312,0.083,0.309,3.093,4.124,0.34,69.072,0.278,0.24,27.835,3.093,3.093,0.24,62.887,73.196,0.392,3.093,0.198,0.515,32.99,95.876,18.557,0.124,74.227,0.26,83.505,0.135,29.897,55.67,45.361,40.206,39.175,32.99,0.271,49.485,78.351,69.072,41.237,15.464,0.208,59.794,41.237,75.258,0.406,5.155,55.67,14.433,57.732,71.134,23.711,32.99,71.134,31.959,75.258,71.134,44.33,47.423,78.351,23.711,42.268,0.229,69.072,76.289,20.619,25.773
Positive_388,1,0.405,0.339,0.209,0.39,0.268,0.103,0.285,0.285,0.285,0.285,0.194,0.285,0.256,0.268,0.302,0.126,0.285,0.328,0.214,0.285,0.436,1.709,0.131,0.855,0.738,0.353,0.206,1.14,0.243,1.709,0.04,0.313,0.855,0.57,0.353,2.279,0.274,0.254,0.149,0.387,0.57,1.709,0.296,69.516,0.256,0.22,7.407,0.57,0.57,0.223,47.293,74.929,0.345,0.57,0.229,0.43,24.217,97.721,16.809,0.16,59.829,0.166,56.695,0.254,20.228,46.439,31.624,57.55,17.094,22.507,0.243,39.601,71.225,69.231,47.863,19.373,0.194,63.533,62.108,60.399,0.257,1.709,46.439,15.385,39.601,78.632,28.49,22.507,83.476,37.322,78.632,80.912,45.014,51.852,74.359,32.479,56.41,0.191,69.231,60.399,30.484,39.601
Positive_95,1,0.323,0.253,0.22,0.316,0.281,0.132,0.118,0.118,0.118,0.118,0.255,0.118,0.292,0.281,0.217,0.16,0.118,0.396,0.306,0.118,0.442,0.354,0.195,0.708,0.739,0.354,0.264,0.472,0.313,0.354,0.037,0.257,0.236,0.236,0.354,0.59,0.371,0.21,0.167,0.377,0.236,0.354,0.277,70.366,0.329,0.183,0.826,0.472,0.236,0.18,51.712,72.845,0.429,0.236,0.19,0.451,25.384,99.174,24.439,0.129,73.672,0.196,78.158,0.246,24.793,49.705,49.823,53.011,23.14,23.377,0.207,49.469,75.561,72.491,49.823,24.203,0.149,74.144,49.233,73.672,0.245,0.354,49.705,26.328,47.698,75.089,26.919,23.377,78.867,24.793,74.38,77.804,50.295,49.705,74.262,25.03,49.941,0.216,72.491,73.672,26.328,50.649
Positive_856,1,0.37,0.31,0.171,0.335,0.23,0.12,0.5,0.5,0.5,0.5,0.236,0.5,0.285,0.23,0.165,0.176,0.5,0.4,0.251,0.5,0.425,1.0,0.181,2.5,0.725,0.355,0.286,1.0,0.347,1.0,0.03,0.225,1.5,3.5,0.355,1.0,0.325,0.256,0.116,0.365,3.5,1.0,0.345,64.5,0.31,0.161,1.0,3.5,3.5,0.211,47.0,70.5,0.48,3.5,0.261,0.49,28.5,98.5,29.5,0.155,82.0,0.176,83.5,0.191,21.0,45.5,63.0,44.0,35.5,28.0,0.226,60.0,72.0,61.5,40.5,22.0,0.116,78.5,37.0,81.5,0.261,10.0,45.5,29.5,53.5,74.5,27.5,28.0,72.0,21.0,79.0,72.0,60.0,49.5,71.5,20.5,59.5,0.181,61.5,81.5,25.0,61.5
Positive_541,1,0.32,0.245,0.218,0.304,0.28,0.117,0.091,0.091,0.091,0.091,0.214,0.091,0.335,0.28,0.22,0.146,0.091,0.4,0.247,0.091,0.45,0.362,0.178,0.272,0.768,0.322,0.272,0.725,0.264,0.362,0.025,0.241,0.272,0.181,0.322,0.725,0.411,0.209,0.16,0.343,0.181,0.362,0.27,74.457,0.373,0.193,1.449,0.181,0.181,0.177,44.022,73.007,0.457,0.181,0.177,0.424,17.844,99.457,30.344,0.115,77.717,0.2,68.75,0.249,27.446,51.993,43.388,45.471,25.543,23.46,0.195,58.514,73.913,77.536,41.395,28.533,0.145,75.543,43.569,77.808,0.244,0.362,51.993,31.069,58.424,75.453,22.101,23.46,72.101,19.837,76.63,70.652,51.54,48.188,72.645,19.475,52.446,0.229,77.536,77.899,29.167,58.424
Negative_915,0,0.355,0.296,0.221,0.348,0.232,0.107,0.237,0.237,0.237,0.237,0.2,0.237,0.27,0.232,0.254,0.114,0.237,0.412,0.235,0.237,0.5,1.185,0.164,0.948,0.787,0.282,0.276,1.659,0.245,1.185,0.036,0.232,0.474,0.474,0.282,1.659,0.4,0.214,0.133,0.303,0.474,1.185,0.268,81.043,0.37,0.219,2.133,0.474,0.474,0.159,53.555,74.882,0.464,0.474,0.159,0.498,30.806,97.867,22.749,0.107,74.408,0.23,75.355,0.249,21.801,54.502,50.237,46.445,27.251,33.175,0.181,49.526,72.986,80.806,51.422,22.986,0.135,71.801,50.948,73.934,0.261,1.185,54.502,21.801,49.526,73.934,22.986,33.175,73.697,25.829,72.275,76.066,45.735,51.896,72.986,23.697,44.787,0.252,80.806,73.223,21.09,48.578
Negative_798,0,0.4,0.306,0.145,0.333,0.256,0.106,0.556,0.556,0.556,0.556,0.151,0.556,0.272,0.256,0.206,0.128,0.556,0.344,0.162,0.556,0.483,3.889,0.101,2.778,0.728,0.339,0.201,1.667,0.19,3.889,0.045,0.233,1.111,1.111,0.339,2.778,0.35,0.173,0.168,0.344,1.111,3.889,0.261,83.333,0.328,0.156,18.889,1.667,1.111,0.145,72.778,80.0,0.456,1.111,0.201,0.494,45.556,98.889,26.667,0.167,63.889,0.223,85.0,0.19,30.556,71.111,77.222,40.556,37.778,38.333,0.168,46.111,83.889,85.556,40.0,16.667,0.128,60.556,36.111,62.778,0.251,3.889,71.111,26.667,50.0,61.667,20.0,38.333,59.444,20.0,66.667,62.222,51.667,60.556,85.0,15.556,44.444,0.201,85.556,61.667,23.889,46.111
Negative_112,0,0.441,0.355,0.173,0.403,0.255,0.097,0.269,0.269,0.269,0.269,0.178,0.269,0.298,0.255,0.258,0.186,0.269,0.304,0.208,0.269,0.379,1.075,0.156,0.806,0.788,0.274,0.229,1.882,0.229,2.419,0.032,0.298,0.538,0.538,0.274,1.882,0.339,0.267,0.159,0.306,0.538,2.419,0.366,79.032,0.323,0.283,2.419,1.344,0.538,0.173,38.172,77.688,0.468,0.538,0.181,0.403,22.581,98.925,24.731,0.116,65.591,0.248,73.387,0.224,20.968,44.086,47.849,54.032,19.624,21.237,0.186,46.237,77.957,71.505,60.484,27.151,0.135,73.925,57.258,69.624,0.245,4.839,44.086,25.538,40.323,73.925,30.645,21.237,78.495,22.849,68.817,77.419,41.667,51.882,76.882,30.645,41.935,0.272,71.505,71.237,21.774,47.312
